Voltage,Current
-0.0099745430052,-1.582094029118e-07
0.0000320997933,4.557725863386e-10
0.0099977822974,1.741812383216e-07
0.0199617128819,3.667780106298e-07
0.0299596283585,5.818769750476e-07
0.0399532616138,8.269630598079e-07
0.0499752536416,1.111614665206e-06
0.0599874220788,1.438674871679e-06
0.0699912458658,1.818415057642e-06
0.0799909457564,2.268647449455e-06
0.0899888351560,2.801859864121e-06
0.0999908819795,3.433203573877e-06
0.1099943667650,4.183262262814e-06
0.1199965402484,5.062816399004e-06
0.1299977600574,6.089416729083e-06
0.1399660706520,7.272344646481e-06
0.1499586105347,8.624600013718e-06
0.1599622070789,1.014406188915e-05
0.1699847728014,1.184813208965e-05
0.1799910515547,1.371118105453e-05
0.1899989694357,1.572793007654e-05
0.2000016719103,1.789267116692e-05
0.2100027948618,2.0194449462e-05
0.2200011610985,2.262567068101e-05
0.2300059050322,2.517194479879e-05
0.2400096952915,2.781196781143e-05
0.2499764114618,3.054623448406e-05
0.2599819898605,3.336074587423e-05
0.2699766159058,3.625515455496e-05
0.2799811661243,3.921585448552e-05
0.2899852693081,4.22519769927e-05
0.2999859154224,4.533531318884e-05
0.3099897503853,4.848807293456e-05
0.3199845850468,5.168318602955e-05
0.3299953043461,5.493465505424e-05
0.3399954438210,5.821929880767e-05
0.3500005304813,6.151793786557e-05
0.3600026667118,6.487656355603e-05
0.3699699342251,6.82433746988e-05
0.3799700438976,7.166897557909e-05
0.3899682760239,7.50991384848e-05
0.3999698460102,7.861811172916e-05
0.4099719524384,8.207868086174e-05
0.4199732244015,8.556729881093e-05
0.4299759864807,8.913685451262e-05
0.4399716258049,9.268221037928e-05
0.4499735832214,9.626236715121e-05
0.4599842727184,9.987149678636e-05
0.4699845016003,0.0001034712404362
0.4800215363503,0.0001070789803634
0.4899848103523,0.0001107025527745
0.4999870657921,0.0001143495101132
0.5099886059761,0.0001179927421617
0.5199939608574,0.0001217155149789
0.5299949049950,0.0001253961527254
0.5399918556213,0.0001291212684009
0.5499953031540,0.0001329017395619
0.5599952340126,0.0001366036449326
0.5700036883354,0.0001404202921549
0.5800064206123,0.0001441865751985
0.5900058150291,0.0001480298669776
0.6000176072121,0.0001517864584457
0.6099787950516,0.0001555333728902
0.6199879050255,0.0001594059867784
0.6299902796745,0.0001631800842006
0.6399902701378,0.0001669154444244
0.6499942541122,0.0001709201460471
0.6599937081337,0.0001747374190018
0.6699921488762,0.0001785668428056
0.6799960136414,0.0001825024664868
0.6899991035461,0.0001863809302449
0.7000079154968,0.00019024516223
0.7100037336349,0.0001942079834407
0.7199717164040,0.0001979971129913
0.7299767732620,0.0002019796229433
0.7399817109108,0.0002058335667243
0.7499911189079,0.0002097495016642
0.7599866390228,0.000213633509702
0.7699923515320,0.0002176388079533
0.7799904942513,0.0002218153967988
0.7899939417839,0.0002257443848066
0.7999982237816,0.0002295784215676
0.8099990487099,0.0002335757308174
0.8200023174286,0.0002374406176386
0.8300064206123,0.0002414044720354
0.8399718999863,0.000245408853516
0.8499714136124,0.0002493904030416
0.8599784374237,0.0002534502127673
0.8699858784676,0.0002573048113845
0.8799895048141,0.0002613863325678
0.8899862170219,0.0002653555420693
0.8999899625778,0.0002694102877285
0.9099903106689,0.0002734341251198
0.9200005531311,0.0002774405002128
0.9299995899200,0.0002815508632921
0.9400020241737,0.0002855473430827
0.9499958753586,0.0002895290672313
0.9599667787552,0.0002936335804407
0.9699734449387,0.000297695514746
0.9799752235413,0.0003018720308319
0.9899787306786,0.0003057269204874
0.9999813437462,0.0003099322202615
1.0099869966507,0.0003139576292597
1.0199843645096,0.0003180037892889
1.0299950838089,0.0003220617363695
1.0399972200394,0.0003263151447754
